Id,BasePrice,Unit,Task,Specification,Material,Location,MaterialCoef,PositionCoef
1,80,ks,Drážkování,El. krabice,-,Nízká (u podlahy),1,1
2,80,ks,Drážkování,El. krabice,-,Strop,1,1.1
3,80,ks,Drážkování,El. krabice,-,Stěna,1,1.2
4,80,ks,Drážkování,El. krabice,-,Štafle,1,1.5
5,80,ks,Drážkování,El. krabice,Beton,Nízká (u podlahy),2,1
6,80,ks,Drážkování,El. krabice,Beton,Strop,2,1.1
7,80,ks,Drážkování,El. krabice,Beton,Stěna,2,1.2
8,80,ks,Drážkování,El. krabice,Beton,Štafle,2,1.5
9,80,ks,Drážkování,El. krabice,Cihla,Nízká (u podlahy),1.4,1
10,80,ks,Drážkování,El. krabice,Cihla,Strop,1.4,1.1
11,80,ks,Drážkování,El. krabice,Cihla,Stěna,1.4,1.2
12,80,ks,Drážkování,El. krabice,Cihla,Štafle,1.4,1.5
13,80,ks,Drážkování,El. krabice,Dlažba,Nízká (u podlahy),1.2,1
14,80,ks,Drážkování,El. krabice,Dlažba,Strop,1.2,1.1
15,80,ks,Drážkování,El. krabice,Dlažba,Stěna,1.2,1.2
16,80,ks,Drážkování,El. krabice,Dlažba,Štafle,1.2,1.5
17,80,ks,Drážkování,El. krabice,Omítka - Sádra,Nízká (u podlahy),1,1
18,80,ks,Drážkování,El. krabice,Omítka - Sádra,Strop,1,1.1
19,80,ks,Drážkování,El. krabice,Omítka - Sádra,Stěna,1,1.2
20,80,ks,Drážkování,El. krabice,Omítka - Sádra,Štafle,1,1.5
21,80,ks,Drážkování,El. krabice,Tvárnice,Nízká (u podlahy),1.5,1
22,80,ks,Drážkování,El. krabice,Tvárnice,Strop,1.5,1.1
23,80,ks,Drážkování,El. krabice,Tvárnice,Stěna,1.5,1.2
24,80,ks,Drážkování,El. krabice,Tvárnice,Štafle,1.5,1.5
25,80,ks,Drážkování,El. krabice,Železobeton,Nízká (u podlahy),2.5,1
26,80,ks,Drážkování,El. krabice,Železobeton,Strop,2.5,1.1
27,80,ks,Drážkování,El. krabice,Železobeton,Stěna,2.5,1.2
28,80,ks,Drážkování,El. krabice,Železobeton,Štafle,2.5,1.5
29,80,ks,Drážkování,El. krabice,-,Nízká (u podlahy),1,1
30,80,ks,Drážkování,El. krabice,-,Strop,1,1.1
31,80,ks,Drážkování,El. krabice,-,Stěna,1,1.2
32,80,ks,Drážkování,El. krabice,-,Štafle,1,1.5
33,80,ks,Drážkování,El. krabice,Beton,Nízká (u podlahy),2,1
34,80,ks,Drážkování,El. krabice,Beton,Strop,2,1.1
35,80,ks,Drážkování,El. krabice,Beton,Stěna,2,1.2
36,80,ks,Drážkování,El. krabice,Beton,Štafle,2,1.5
37,80,ks,Drážkování,El. krabice,Cihla,Nízká (u podlahy),1.4,1
38,80,ks,Drážkování,El. krabice,Cihla,Strop,1.4,1.1
39,80,ks,Drážkování,El. krabice,Cihla,Stěna,1.4,1.2
40,80,ks,Drážkování,El. krabice,Cihla,Štafle,1.4,1.5
41,80,ks,Drážkování,El. krabice,Dlažba,Nízká (u podlahy),1.2,1
42,80,ks,Drážkování,El. krabice,Dlažba,Strop,1.2,1.1
43,80,ks,Drážkování,El. krabice,Dlažba,Stěna,1.2,1.2
44,80,ks,Drážkování,El. krabice,Dlažba,Štafle,1.2,1.5
45,80,ks,Drážkování,El. krabice,Omítka - Sádra,Nízká (u podlahy),1,1
46,80,ks,Drážkování,El. krabice,Omítka - Sádra,Strop,1,1.1
