Id,BasePrice,Unit,Task,Specification,Material,Location,MaterialCoef,PositionCoef
1,80,m,Drážkování,Spára,Omítka - Sádra,Stěna,1,1
2,80,m,Drážkování,Spára,Dlažba,Stěna,1.2,1
3,80,m,Drážkování,Spára,Cihla,Stěna,1.4,1
4,80,m,Drážkování,Spára,Tvárnice,Stěna,1.5,1
5,80,m,Drážkování,Spára,Beton,Stěna,2,1
6,80,m,Drážkování,Spára,Železobeton,Stěna,2.5,1
7,80,m,Drážkování,Spára,Omítka - Sádra,Nízká (u podlahy),1,1.1
8,80,m,Drážkování,Spára,Dlažba,Nízká (u podlahy),1.2,1
9,80,m,Drážkování,Spára,Cihla,Nízká (u podlahy),1.4,1.1
10,80,m,Drážkování,Spára,Tvárnice,Nízká (u podlahy),1.5,1.1
11,80,m,Drážkování,Spára,Beton,Nízká (u podlahy),2,1.1
12,80,m,Drážkování,Spára,Železobeton,Nízká (u podlahy),2.5,1.1
13,80,m,Drážkování,Spára,Omítka - Sádra,Štafle,1,1.2
14,80,m,Drážkování,Spára,Cihla,Štafle,1.4,1.2
15,80,m,Drážkování,Spára,Tvárnice,Štafle,1.5,1.2
16,80,m,Drážkování,Spára,Beton,Štafle,2,1.2
17,80,m,Drážkování,Spára,Železobeton,Štafle,2.5,1.2
18,80,m,Drážkování,Spára,Omítka - Sádra,Strop,1,1.5
19,80,m,Drážkování,Spára,Cihla,Strop,1.4,1.5
20,80,m,Drážkování,Spára,Tvárnice,Strop,1.5,1.5
21,80,m,Drážkování,Spára,Beton,Strop,2,1.5
22,80,m,Drážkování,Spára,Železobeton,Strop,2.5,1.5
23,60,ks,Vrtání,Průchozí díra,Omítka - Sádra,Stěna,1,1
24,60,ks,Vrtání,Průchozí díra,Cihla,Stěna,1.4,1
25,60,ks,Vrtání,Průchozí díra,Tvárnice,Stěna,1.5,1
26,60,ks,Vrtání,Průchozí díra,Beton,Stěna,2,1
27,60,ks,Vrtání,Průchozí díra,Železobeton,Stěna,2.5,1
28,60,ks,Vrtání,Průchozí díra,Omítka - Sádra,Nízká (u podlahy),1,1.1
29,60,ks,Vrtání,Průchozí díra,Cihla,Nízká (u podlahy),1.4,1.1
30,60,ks,Vrtání,Průchozí díra,Tvárnice,Nízká (u podlahy),1.5,1.1
31,60,ks,Vrtání,Průchozí díra,Beton,Nízká (u podlahy),2,1.1
32,60,ks,Vrtání,Průchozí díra,Železobeton,Nízká (u podlahy),2.5,1.1
33,60,ks,Vrtání,Průchozí díra,Omítka - Sádra,Štafle,1,1.2
34,60,ks,Vrtání,Průchozí díra,Cihla,Štafle,1.4,1.2
35,60,ks,Vrtání,Průchozí díra,Tvárnice,Štafle,1.5,1.2
36,60,ks,Vrtání,Průchozí díra,Beton,Štafle,2,1.2
37,60,ks,Vrtání,Průchozí díra,Železobeton,Štafle,2.5,1.2
38,60,ks,Vrtání,Průchozí díra,Omítka - Sádra,Strop,1,1.5
39,60,ks,Vrtání,Průchozí díra,Cihla,Strop,1.4,1.5
40,60,ks,Vrtání,Průchozí díra,Tvárnice,Strop,1.5,1.5
41,60,ks,Vrtání,Průchozí díra,Beton,Strop,2,1.5
42,60,ks,Vrtání,Průchozí díra,Železobeton,Strop,2.5,1.5
43,180,ks,Vrtání,El. krabice,Omítka - Sádra,Stěna,1,1
44,180,ks,Vrtání,El. krabice,Cihla,Stěna,1.4,1
45,180,ks,Vrtání,El. krabice,Tvárnice,Stěna,1.5,1
46,180,ks,Vrtání,El. krabice,Beton,Stěna,2,1
47,180,ks,Vrtání,El. krabice,Železobeton,Stěna,2.5,1
48,180,ks,Vrtání,El. krabice,Omítka - Sádra,Nízká (u podlahy),1,1.1
49,180,ks,Vrtání,El. krabice,Cihla,Nízká (u podlahy),1.4,1.1
50,180,ks,Vrtání,El. krabice,Tvárnice,Nízká (u podlahy),1.5,1.1
51,180,ks,Vrtání,El. krabice,Beton,Nízká (u podlahy),2,1.1
52,180,ks,Vrtání,El. krabice,Železobeton,Nízká (u podlahy),2.5,1.1
53,180,ks,Vrtání,El. krabice,Omítka - Sádra,Štafle,1,1.2
54,180,ks,Vrtání,El. krabice,Cihla,Štafle,1.4,1.2
55,180,ks,Vrtání,El. krabice,Tvárnice,Štafle,1.5,1.2
56,180,ks,Vrtání,El. krabice,Beton,Štafle,2,1.2
57,180,ks,Vrtání,El. krabice,Železobeton,Štafle,2.5,1.2
58,180,ks,Vrtání,El. krabice,Omítka - Sádra,Strop,1,1.5
59,180,ks,Vrtání,El. krabice,Cihla,Strop,1.4,1.5
60,180,ks,Vrtání,El. krabice,Tvárnice,Strop,1.5,1.5
61,180,ks,Vrtání,El. krabice,Beton,Strop,2,1.5
62,180,ks,Vrtání,El. krabice,Železobeton,Strop,2.5,1.5
43,180,ks,Vrtání,El. krabice,Omítka - Sádra,Stěna,1,1
44,180,ks,Vrtání,El. krabice,Cihla,Stěna,1.4,1
45,180,ks,Vrtání,El. krabice,Tvárnice,Stěna,1.5,1
46,180,ks,Vrtání,El. krabice,Beton,Stěna,2,1
47,180,ks,Vrtání,El. krabice,Železobeton,Stěna,2.5,1
48,180,ks,Vrtání,El. krabice,Omítka - Sádra,Nízká (u podlahy),1,1.1
49,180,ks,Vrtání,El. krabice,Cihla,Nízká (u podlahy),1.4,1.1
50,180,ks,Vrtání,El. krabice,Tvárnice,Nízká (u podlahy),1.5,1.1
51,180,ks,Vrtání,El. krabice,Beton,Nízká (u podlahy),2,1.1
52,180,ks,Vrtání,El. krabice,Železobeton,Nízká (u podlahy),2.5,1.1
53,180,ks,Vrtání,El. krabice,Omítka - Sádra,Štafle,1,1.2
54,180,ks,Vrtání,El. krabice,Cihla,Štafle,1.4,1.2
55,180,ks,Vrtání,El. krabice,Tvárnice,Štafle,1.5,1.2
56,180,ks,Vrtání,El. krabice,Beton,Štafle,2,1.2
57,180,ks,Vrtání,El. krabice,Železobeton,Štafle,2.5,1.2
58,180,ks,Vrtání,El. krabice,Omítka - Sádra,Strop,1,1.5
59,180,ks,Vrtání,El. krabice,Cihla,Strop,1.4,1.5
60,180,ks,Vrtání,El. krabice,Tvárnice,Strop,1.5,1.5
61,180,ks,Vrtání,El. krabice,Beton,Strop,2,1.5
62,180,ks,Vrtání,El. krabice,Železobeton,Strop,2.5,1.5
63,80,ks,Osazení,El. krabice,-,Stěna,1,1
64,80,ks,Osazení,El. krabice,-,Nízká (u podlahy),1,1.1
65,80,ks,Osazení,El. krabice,-,Štafle,1,1.2
66,80,ks,Osazení,El. krabice,-,Strop,1,1.5
67,80,ks,Osazení,Rozvaděč,-,Stěna,1,1
68,80,ks,Osazení,Rozvaděč,-,Nízká (u podlahy),1,1.1
69,80,ks,Osazení,Rozvaděč,-,Štafle,1,1.2
70,80,ks,Osazení,Rozvaděč,-,Strop,1,1.5
